Gene	SNPs	Traits	Tissues	Interactions	Mapped
MIS12	rs1805465	asparaginase_hypersensitivity__acute_lymphoblastic_leukemia	Testis	cis	True
TMEM116	rs6490294, rs739496, rs2238151, rs4767364	platelet_count, stroke, upper_aerodigestive_tract_neoplasm	Brain_Frontal_Cortex_BA9, Whole_Blood, Adipose_Subcutaneous, Heart_Atrial_Appendage, Artery_Tibial, Esophagus_Muscularis, Muscle_Skeletal, Nerve_Tibial, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Esophagus_Gastroesophageal_Junction, Uterus, Adipose_Visceral_Omentum, Brain_Putamen_basal_ganglia, Adrenal_Gland, Esophagus_Mucosa	cis	False
RP11-22P4.1	rs11918654	lumbar_disc_degeneration	Brain_Cerebellum	trans	False
C21orf128	rs1475911	serum_IgG_glycosylation_measurement	Thyroid, Whole_Blood, Breast_Mammary_Tissue, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Esophagus_Muscularis, Prostate, Adipose_Subcutaneous, Spleen, Colon_Sigmoid, Esophagus_Gastroesophageal_Junction, Heart_Left_Ventricle, Pituitary, Adipose_Visceral_Omentum, Lung	cis	False
CDON	rs4937076	tooth_eruption	Nerve_Tibial	cis	False
MED12L	rs2665390	ovarian_carcinoma	Ovary	trans	False
SLC35A1	rs13213285, rs28381552	body_composition_measurement	Artery_Tibial	cis	False
SLC35A3	rs4245040, rs1571500	attention_deficit_hyperactivity_disorder, dental_caries	Esophagus_Muscularis, Muscle_Skeletal	trans	False
RP11-462L8.1	rs11720607	prostate_carcinoma	Whole_Blood	trans	False
LINC00989	rs9307551	Abnormality_of_refraction	Thyroid, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Breast_Mammary_Tissue, Adipose_Subcutaneous, Heart_Atrial_Appendage, Nerve_Tibial, Muscle_Skeletal, Heart_Left_Ventricle, Artery_Tibial, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Skin_Sun_Exposed_Lower_leg	cis	False
CHN1	rs12693043	urate_measurement__body_mass_index	Brain_Caudate_basal_ganglia	cis	False
FAF1	rs9386485, rs6692700	response_to_paclitaxel__response_to_antineoplastic_agent, serum_selenium_measurement	Brain_Putamen_basal_ganglia, Uterus	trans	False
ABCB10	rs12049351	myeloperoxidase_measurement	Skin_Not_Sun_Exposed_Suprapubic, Brain_Cerebellum	cis	False
COL6A4P2	rs9813712	response_to_drug	Colon_Sigmoid, Heart_Left_Ventricle, Artery_Tibial, Adipose_Visceral_Omentum, Lung	cis	True
SART1	rs8028689	multiple_myeloma	Adrenal_Gland	trans	False
SBK1	rs26528, rs7359397, rs3888190, rs2650492, rs8049439, rs4788084	Crohn's_disease, body_mass_index, inflammatory_bowel_disease, self_reported_educational_attainment, type_I_diabetes_mellitus, type_I_diabetes_mellitus__autoantibody_measurement, ulcerative_colitis	Skin_Sun_Exposed_Lower_leg, Stomach, Artery_Tibial, Lung, Pancreas	cis	False
SLC25A40	rs7189020	mean_corpuscular_volume	Brain_Cerebellar_Hemisphere	trans	False
PMP22	rs2075230	sex_hormone_globulin_binding_measurement, testosterone_measurement	Thyroid	trans	False
HLA-F-AS1	rs2523393, rs2523395	multiple_sclerosis, prostate_carcinoma	Skin_Sun_Exposed_Lower_leg	cis	True
SLC25A44	rs2072499	Testicular_Germ_Cell_Tumor, testicular_carcinoma	Thyroid, Adipose_Subcutaneous, Cells_Transformed_fibroblasts, Nerve_Tibial, Brain_Cortex, Artery_Tibial, Esophagus_Gastroesophageal_Junction, Lung, Skin_Sun_Exposed_Lower_leg	cis	True
SLC25A45	rs3782089	body_height	Skin_Sun_Exposed_Lower_leg	cis	False
SLC25A46	rs17513503	seasonal_allergic_rhinitis	Nerve_Tibial	cis	False
CDC27	rs11079757	erythema_nodosum__inflammatory_bowel_disease	Muscle_Skeletal	cis	True
CDC26	rs6477998	albumin_globulin_ratio_measurement	Thyroid, Testis, Small_Intestine_Terminal_Ileum, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Vagina, Whole_Blood, Breast_Mammary_Tissue, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Brain_Caudate_basal_ganglia, Artery_Tibial, Colon_Transverse, Brain_Cerebellum, Esophagus_Muscularis, Nerve_Tibial, Pancreas, Adipose_Subcutaneous, Spleen, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Muscle_Skeletal, Brain_Hypothalamus, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Ovary, Esophagus_Gastroesophageal_Junction, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Artery_Aorta, Brain_Hippocampus, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
RBPMS	rs643472	Corticobasal_degeneration	Brain_Frontal_Cortex_BA9	trans	False
HOXD10	rs2461751	electrocardiography__PR_interval	Muscle_Skeletal	cis	False
SHBG	rs4227, rs727428, rs1642764, rs12150660	IGA_glomerulonephritis, dihydrotestosterone_measurement, esophageal_squamous_cell_carcinoma, sex_hormone_globulin_binding_measurement, testosterone_measurement	Adrenal_Gland, Pituitary	cis	False
STRADB	rs6503695, rs13016963	Crohn's_disease, esophageal_squamous_cell_carcinoma, melanoma	Adipose_Visceral_Omentum, Esophagus_Gastroesophageal_Junction	both	False
STON1	rs10454142	sex_hormone_globulin_binding_measurement	Esophagus_Muscularis	cis	False
BEST1	rs174547, rs174537, rs102275, rs174550, rs174538, rs1535, rs108499, rs174577, rs174578, rs174555, rs174549, rs174541, rs174546, rs509360, rs4246215, rs174551, rs10792320, rs174554	body_height, Crohn's_disease, HOMA-B, blood_metabolite_measurement, body_mass_index__fasting_blood_glucose_measurement, cis-trans-18:2_fatty_acid_measurement__trans_fatty_acid_measurement, colorectal_cancer, comprehensive_strength_index__muscle_measurement, fasting_blood_glucose_measurement, fatty_acid_measurement, fatty_acid_measurement__docosapentaenoic_acid_measurement, fatty_acid_measurement__linoleic_acid_measurement, fatty_acid_measurement__linolenic_acid_measurement, glycerophospholipid_measurement__blood_metabolite_measurement, high_density_lipoprotein_cholesterol_measurement, high_density_lipoprotein_cholesterol_measurement__metabolic_syndrome, inflammatory_bowel_disease, insulin_sensitivity_measurement, laryngeal_squamous_cell_carcinoma, lipid_measurement, low_density_lipoprotein_cholesterol_measurement, metabolite_measurement, omega-6_polyunsaturated_fatty_acid_measurement, phospholipid_measurement, platelet_count, resting_heart_rate, sphingolipid_measurement__blood_metabolite_measurement, total_cholesterol_measurement, triglyceride_measurement	Heart_Atrial_Appendage, Cells_Transformed_fibroblasts	cis	False
LIN54	rs2287921	vitamin_B12_measurement	Skin_Not_Sun_Exposed_Suprapubic	trans	False
LIN52	rs2239557, rs6764184	circadian_rhythm, optic_cup_area_measurement	Thyroid, Testis, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Breast_Mammary_Tissue, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Brain_Caudate_basal_ganglia, Artery_Tibial, Colon_Transverse, Brain_Cerebellum, Esophagus_Muscularis, Nerve_Tibial, Pancreas, Adipose_Subcutaneous, Spleen, Colon_Sigmoid, Muscle_Skeletal, Brain_Hypothalamus, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Esophagus_Gastroesophageal_Junction, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Lung, Skin_Sun_Exposed_Lower_leg	both	False
LA16c-313D11.9	rs763014, rs1981483, rs7204439	body_height, lumbar_disc_degeneration	Adipose_Subcutaneous, Artery_Tibial	cis	False
TNC	rs10114408, rs11554257, rs7847231	colorectal_cancer, inflammatory_bowel_disease, self_reported_educational_attainment, ulcerative_colitis	Brain_Frontal_Cortex_BA9, Stomach, Cells_Transformed_fibroblasts	both	False
SORCS1	rs12456492	Parkinson's_disease	Adipose_Visceral_Omentum	trans	False
SORCS2	rs4234798	IGFBP-3_measurement	Thyroid, Esophagus_Mucosa, Lung	cis	True
RP13-870H17.3	rs907611	bladder_carcinoma, inflammatory_bowel_disease, ulcerative_colitis	Uterus	cis	False
KIAA1614	rs1411478	Progressive_supranuclear_palsy	Brain_Frontal_Cortex_BA9, Nerve_Tibial, Brain_Nucleus_accumbens_basal_ganglia	cis	False
RP11-277P12.20	rs2617170, rs10743889	Behcet's_syndrome, maximal_oxygen_uptake_measurement	Thyroid, Testis, Skin_Not_Sun_Exposed_Suprapubic, Brain_Caudate_basal_ganglia, Adipose_Subcutaneous, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg	cis	False
TNPO3	rs4728142, rs9349205, rs3807306, rs12537284	inflammatory_bowel_disease, mean_corpuscular_hemoglobin, mean_corpuscular_volume, rheumatoid_arthritis, systemic_lupus_erythematosus, ulcerative_colitis	Brain_Cerebellum, Heart_Left_Ventricle, Whole_Blood	both	False
TNPO1	rs6823268	body_height	Pituitary	trans	False
GCN1L1	rs2069408	asthma	Skin_Sun_Exposed_Lower_leg	trans	False
MAPK3	rs4787491	body_mass_index	Whole_Blood	cis	False
MAPK1	rs2283792, rs9607469	multiple_sclerosis, optic_disc_size_measurement	Esophagus_Muscularis, Brain_Anterior_cingulate_cortex_BA24	both	False
MAPK6	rs17525472, rs3736485	asthma, body_mass_index	Testis, Thyroid	cis	False
BCO2	rs2250417, rs1834481, rs2115763	interleukin-1_beta_measurement, interleukin_18_measurement	Testis, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Breast_Mammary_Tissue, Adrenal_Gland, Heart_Atrial_Appendage, Brain_Caudate_basal_ganglia, Artery_Tibial, Brain_Cerebellum, Esophagus_Muscularis, Liver, Pancreas, Adipose_Subcutaneous, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Muscle_Skeletal, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Esophagus_Gastroesophageal_Junction, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Artery_Aorta, Brain_Putamen_basal_ganglia, Brain_Hippocampus, Lung, Skin_Sun_Exposed_Lower_leg, Whole_Blood, Nerve_Tibial, Thyroid, Brain_Cerebellar_Hemisphere	cis	True
MAPK9	rs6879260	body_height	Artery_Tibial, Nerve_Tibial, Artery_Aorta	cis	False
SGPP2	rs13393173, rs10170846	response_to_TNF_antagonist, schizophrenia__HSV1_seropositivity	Brain_Caudate_basal_ganglia, Skin_Sun_Exposed_Lower_leg	both	False
ATP8A2	rs7322916	eating_disorder	Brain_Cerebellum	cis	True
KRT6A	rs2744148	multiple_sclerosis	Thyroid	trans	False
STAG3L2	rs6964833	age_at_menarche	Thyroid, Testis, Nerve_Tibial, Whole_Blood, Breast_Mammary_Tissue, Adrenal_Gland, Esophagus_Muscularis, Muscle_Skeletal, Adipose_Subcutaneous, Cells_Transformed_fibroblasts, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Esophagus_Mucosa, Lung	cis	False
VWA3B	rs7571971	Progressive_supranuclear_palsy	Brain_Frontal_Cortex_BA9	trans	False
THNSL2	rs7589728	plasma_clusterin_measurement	Thyroid, Testis, Nerve_Tibial, Pituitary, Adipose_Subcutaneous, Heart_Atrial_Appendage, Artery_Tibial, Esophagus_Muscularis, Muscle_Skeletal, Colon_Sigmoid, Brain_Hippocampus, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Adipose_Visceral_Omentum, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
METTL8	rs4667682	body_mass_index, hippocampal_atrophy	Esophagus_Muscularis	cis	False
ADTRP	rs3950186	unipolar_depression__anxiety	Skin_Sun_Exposed_Lower_leg	cis	False
VPS36	rs11148252	Lewy_body_dementia__Lewy_body_dementia_measurement	Thyroid, Adipose_Subcutaneous, Adrenal_Gland, Cells_Transformed_fibroblasts, Artery_Tibial, Esophagus_Mucosa, Artery_Aorta, Lung	cis	True
COLCA1	rs3802842	colorectal_cancer	Colon_Transverse, Nerve_Tibial	cis	True
COLCA2	rs3802842	colorectal_cancer	Small_Intestine_Terminal_Ileum, Artery_Tibial, Colon_Transverse	cis	True
METTL6	rs6442522	uric_acid_measurement	Cells_Transformed_fibroblasts, Muscle_Skeletal	cis	True
RP11-554F20.1	rs649057	dental_caries	Brain_Hypothalamus	cis	False
FDX1L	rs73510898	atopic_eczema__psoriasis	Nerve_Tibial	cis	False
C1orf101	rs3003214	dementia__Alzheimer's_disease_neuropathologic_change	Thyroid, Cells_Transformed_fibroblasts	cis	False
KCTD1	rs527616	breast_carcinoma	Thyroid	cis	False
RP11-114F10.2	rs6539247	attention_deficit_hyperactivity_disorder__attention_function_measurement	Breast_Mammary_Tissue, Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg	cis	False
KCTD7	rs801193, rs10263935, rs875971, rs4718428, rs6952407, rs2016325	aortic_root_size, corneal_topography, cotinine_glucuronidation_measurement, response_to_triptolide__cytotoxicity_measurement	Nerve_Tibial, Cells_Transformed_fibroblasts, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Brain_Putamen_basal_ganglia	cis	False
C1orf106	rs2297909, rs11584383, rs7554511, rs296547, rs35730213, rs7522462, rs72749142	ankylosing_spondylitis, attention_deficit_hyperactivity_disorder__unipolar_depression__schizophrenia__autism_spectrum_disorder__bipolar_disorder, Crohn's_disease, celiac_disease, inflammatory_bowel_disease, multiple_sclerosis, schizophrenia, ulcerative_colitis	Skin_Not_Sun_Exposed_Suprapubic, Artery_Tibial, Esophagus_Mucosa, Artery_Aorta, Skin_Sun_Exposed_Lower_leg	cis	True
GLTSCR1L	rs6498540	blood_metabolite_measurement, glycerophospholipid_measurement__blood_metabolite_measurement	Thyroid	trans	False
SLC18B1	rs7769051	diabetic_nephropathy	Thyroid, Whole_Blood, Adrenal_Gland, Cells_EBV-transformed_lymphocytes, Lung	cis	False
RP11-153K11.3	rs1900004, rs12571093, rs1900005, rs6480314, rs7916697	optic_disc_area_measurement, optic_disc_size_measurement	Liver, Nerve_Tibial, Adrenal_Gland, Colon_Transverse, Lung, Pancreas	cis	False
EXOC6B	rs12713956	lipid_measurement	Brain_Nucleus_accumbens_basal_ganglia	trans	False
NRAP	rs3814231	Vitiligo	Testis	cis	False
PXK	rs11714574, rs73081554, rs2176082, rs6445975, rs13315871	HIV-1_infection__virologic_response_measurement__response_to_abacavir, rheumatoid_arthritis, systemic_lupus_erythematosus, total_cholesterol_measurement	Brain_Cerebellar_Hemisphere, Thyroid, Nerve_Tibial, Pancreas, Muscle_Skeletal, Heart_Left_Ventricle, Small_Intestine_Terminal_Ileum, Pituitary, Adrenal_Gland, Artery_Tibial, Esophagus_Muscularis, Spleen, Breast_Mammary_Tissue, Heart_Atrial_Appendage, Whole_Blood, Liver	cis	True
SLC38A10	rs9912789, rs9896850, rs2659005, rs2659030, rs9319617, rs2725391, rs906175, rs12939525, rs1048775, rs969413, rs2255166, rs10445407, rs7224668, rs2279913	Frontotemporal_dementia, longevity, serum_IgG_glycosylation_measurement	Testis, Brain_Cerebellum, Heart_Left_Ventricle, Brain_Cerebellar_Hemisphere, Cells_Transformed_fibroblasts, Brain_Nucleus_accumbens_basal_ganglia, Skin_Sun_Exposed_Lower_leg, Heart_Atrial_Appendage, Adipose_Visceral_Omentum, Lung, Esophagus_Muscularis, Artery_Coronary	cis	False
KCNT2	rs800292	myeloperoxidase_measurement	Nerve_Tibial	cis	False
PXN	rs9480865	multiple_sclerosis	Colon_Sigmoid	trans	False
CABLES1	rs9949617	triglyceride_measurement	Brain_Nucleus_accumbens_basal_ganglia	cis	False
CABLES2	rs4925386, rs2427308	colorectal_cancer	Artery_Aorta, Heart_Atrial_Appendage, Esophagus_Muscularis, Nerve_Tibial, Colon_Sigmoid, Skin_Sun_Exposed_Lower_leg, Artery_Tibial, Esophagus_Gastroesophageal_Junction, Heart_Left_Ventricle, Adipose_Visceral_Omentum	cis	True
CTC-360J11.4	rs11672517	Dupuytren_Contracture	Thyroid, Nerve_Tibial, Artery_Aorta, Adipose_Subcutaneous, Artery_Tibial, Adipose_Visceral_Omentum	cis	False
RP11-276H19.1	rs12350534	CADASIL__white_matter_hyperintensity_measurement	Brain_Hypothalamus	cis	False
MOV10L1	rs5771242, rs138229	maximal_midexpiratory_flow_rate, illegal_drug_consumption	Nerve_Tibial, Artery_Coronary, Thyroid, Artery_Aorta, Heart_Atrial_Appendage, Esophagus_Muscularis, Adipose_Subcutaneous, Esophagus_Mucosa	cis	True
STON1-GTF2A1L	rs17396122, rs10454142	schizophrenia, sex_hormone_globulin_binding_measurement	Nerve_Tibial, Breast_Mammary_Tissue, Adipose_Subcutaneous, Heart_Left_Ventricle, Lung	cis	False
PACS1	rs524281, rs5743890, rs564343, rs2147896, rs4539242	alpha_peak_frequency_measurement__alpha_wave_measurement__electroencephalogram_measurement, idiopathic_pulmonary_fibrosis, obesity, urinary_metabolite_measurement	Thyroid, Brain_Frontal_Cortex_BA9, Whole_Blood, Breast_Mammary_Tissue, Nerve_Tibial, Adipose_Subcutaneous, Brain_Anterior_cingulate_cortex_BA24, Brain_Hypothalamus, Muscle_Skeletal	both	False
SBNO2	rs740495	Crohn's_disease	Whole_Blood	cis	True
SBNO1	rs4759375	high_density_lipoprotein_cholesterol_measurement	Cells_Transformed_fibroblasts	cis	True
FAM63B	rs10887741, rs6083	exercise, schizophrenia	Thyroid, Artery_Tibial, Artery_Aorta	both	False
RNF167	rs12602901	blood_metabolite_measurement	Testis	cis	False
RP3-395M20.9	rs6667605, rs10797432, rs734999	inflammatory_bowel_disease, ulcerative_colitis	Brain_Cerebellum, Nerve_Tibial	cis	False
RNF168	rs2342371	HIV-1_infection__body_fat_distribution	Adipose_Subcutaneous, Artery_Tibial, Brain_Cerebellum, Nerve_Tibial, Cells_Transformed_fibroblasts, Brain_Nucleus_accumbens_basal_ganglia, Brain_Cerebellar_Hemisphere	cis	False
ANO2	rs10849441	urinary_metabolite_measurement	Nerve_Tibial	cis	False
ZBTB41	rs6677604, rs7410943, rs2990510	IGA_glomerulonephritis, coagulation_factor_measurement, kidney_disease, type_I_diabetes_mellitus__erectile_dysfunction	Adipose_Subcutaneous, Brain_Cerebellum	cis	False
UPF3A	rs3812831	schizophrenia	Breast_Mammary_Tissue, Artery_Tibial, Esophagus_Muscularis, Cells_Transformed_fibroblasts	cis	False
BRAF	rs4728142	inflammatory_bowel_disease, rheumatoid_arthritis, ulcerative_colitis	Skin_Sun_Exposed_Lower_leg	trans	False
ZBTB46	rs6062314, rs17290922	multiple_sclerosis, schizophrenia	Vagina, Brain_Nucleus_accumbens_basal_ganglia	both	False
RP5-1112D6.7	rs240993	psoriasis	Thyroid, Testis, Pituitary	cis	False
CMTM3	rs35320143	female_fertility__fertility_measurement	Whole_Blood, Cells_Transformed_fibroblasts	cis	True
CTC1	rs3027247, rs3027234	Parkinson's_disease, telomere_length	Whole_Blood, Adipose_Subcutaneous, Lung, Small_Intestine_Terminal_Ileum, Nerve_Tibial, Spleen, Cells_EBV-transformed_lymphocytes, Esophagus_Mucosa	cis	True
RP11-438D14.2	rs7980799	heart_rate	Pituitary, Nerve_Tibial	cis	False
RP11-568K15.1	rs12760731	body_weight	Pituitary	cis	False
P4HA2	rs270602, rs270601, rs6890695, rs476428, rs10058074, rs274546, rs2073643, rs3091338, rs2188962, rs11743851, rs12521868, rs17622378, rs419291, rs272889, rs273913, rs273914, rs274567, rs7727544, rs11950562, rs272869, rs1016988, rs2522056, rs2106854, rs56399423, rs274557, rs2070729	acylcarnitine_measurement__blood_metabolite_measurement, Alzheimers_disease, body_height, asthma, Crohn's_disease, blood_metabolite_measurement, fibrinogen_measurement, inflammatory_bowel_disease, metabolite_measurement, omega-6_polyunsaturated_fatty_acid_measurement, platelet_count, ulcerative_colitis	Thyroid, Artery_Tibial, Pancreas, Nerve_Tibial, Esophagus_Mucosa, Artery_Aorta, Brain_Putamen_basal_ganglia, Testis, Ovary, Esophagus_Muscularis, Cells_Transformed_fibroblasts, Esophagus_Gastroesophageal_Junction	cis	False
ANP32B	rs16924016, rs7855088	language_impairment, thyroid_stimulating_hormone_measurement	Brain_Frontal_Cortex_BA9, Pituitary	cis	False
RP11-96D1.3	rs6499165	metabolite_measurement	Cells_EBV-transformed_lymphocytes	cis	False
HPSE2	rs8180040, rs10786436	colorectal_cancer, type_I_diabetes_mellitus	Stomach, Skin_Sun_Exposed_Lower_leg	both	True
NTNG1	rs4118325	AIDS	Thyroid, Cells_Transformed_fibroblasts, Esophagus_Mucosa	cis	False
ALMS1	rs6544997, rs10206899, rs13538, rs10469966, rs8097348, rs6546857, rs13391552, rs9309473, rs56145559, rs11884776, rs6546847	Vitiligo, blood_metabolite_measurement, chronic_kidney_disease__serum_creatinine_measurement, exercise, glomerular_filtration_rate, hydroxy-leucine_measurement, metabolite_measurement, schizophrenia, serum_creatinine_measurement, serum_metabolite_measurement, urinary_metabolite_measurement	Liver, Pancreas, Muscle_Skeletal, Stomach, Brain_Cerebellar_Hemisphere, Cells_EBV-transformed_lymphocytes, Whole_Blood, Cells_Transformed_fibroblasts	both	True
ATRNL1	rs12571664, rs477692	age_at_menarche, response_to_temozolomide	Brain_Anterior_cingulate_cortex_BA24, Heart_Atrial_Appendage	trans	False
PRIM1	rs2277339	age_at_menopause	Brain_Cerebellum, Esophagus_Muscularis, Cells_EBV-transformed_lymphocytes, Esophagus_Mucosa, Lung	cis	True
MRPL51	rs10492096	hip_geometry	Cells_Transformed_fibroblasts	cis	False
PRIM2	rs113731670	schizophrenia	Breast_Mammary_Tissue	trans	False
RP11-383H13.1	rs7003257	type_II_diabetes_mellitus	Heart_Left_Ventricle	trans	False
OPN1SW	rs1799922	odontogenesis, tooth_eruption	Nerve_Tibial, Artery_Aorta, Breast_Mammary_Tissue, Heart_Atrial_Appendage, Artery_Tibial, Esophagus_Muscularis, Muscle_Skeletal, Adipose_Subcutaneous, Esophagus_Gastroesophageal_Junction, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Artery_Coronary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg	cis	True
LCN12	rs57024841	renal_system_measurement	Thyroid, Testis, Nerve_Tibial	cis	False
ZNF687	rs2412973	inflammatory_bowel_disease	Pancreas	trans	False
TRAF3IP3	rs861020	progranulin_measurement	Whole_Blood	cis	False
TRAF3IP2	rs7760535, rs6900341, rs6568685	metabolite_measurement, schizophrenia	Artery_Tibial	cis	False
IQCK	rs733724, rs6087990	multiple_sclerosis, ulcerative_colitis	Liver, Spleen	trans	False
IQCH	rs7359257, rs8032675, rs4776970	age_at_menarche, body_mass_index	Thyroid, Cells_Transformed_fibroblasts, Lung	cis	False
TNS1	rs2571445	pulmonary_function_measurement__forced_expiratory_volume	Esophagus_Muscularis	cis	True
CCDC90B	rs683250, rs1864774	putamen_volume, schizophrenia	Artery_Tibial, Pancreas, Artery_Aorta	cis	False
ANGPTL6	rs1551570	narcolepsy_with_cataplexy	Whole_Blood, Adipose_Visceral_Omentum	cis	False
ANGPTL4	rs2967605, rs7255436	high_density_lipoprotein_cholesterol_measurement	Prostate, Skin_Sun_Exposed_Lower_leg	cis	True
ANGPTL3	rs631106, rs1748195, rs10889353, rs2131925, rs10889348, rs636523, rs11207995, rs1168013	Crohn's_disease, lipid_measurement, low_density_lipoprotein_cholesterol_measurement, total_cholesterol_measurement, triglyceride_measurement	Liver	cis	False
CCDC178	rs6507022	hydroxy-leucine_measurement	Testis	cis	True
CTD-2587M2.1	rs367615	colorectal_cancer	Thyroid, Artery_Aorta, Whole_Blood, Breast_Mammary_Tissue, Adipose_Subcutaneous, Artery_Tibial, Esophagus_Muscularis, Muscle_Skeletal, Nerve_Tibial, Heart_Left_Ventricle, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
GPR115	rs6940729	homocysteine_measurement	Testis, Heart_Atrial_Appendage, Muscle_Skeletal, Heart_Left_Ventricle, Artery_Tibial, Skin_Sun_Exposed_Lower_leg	cis	False
FDX1	rs7945071	cognition	Heart_Atrial_Appendage, Esophagus_Muscularis, Adipose_Visceral_Omentum	cis	False
GPR113	rs3795958, rs11126666	HVA_measurement, HVA_measurement__MHPG_measurement, body_mass_index	Cells_Transformed_fibroblasts, Prostate	cis	False
GPR111	rs10948363, rs9349407, rs6940729	Alzheimers_disease, homocysteine_measurement	Esophagus_Mucosa, Heart_Atrial_Appendage, Muscle_Skeletal, Testis, Esophagus_Muscularis, Heart_Left_Ventricle, Artery_Tibial	cis	False
MFAP2	rs2284746, rs3738814	body_height, FEV-FEC_ratio, pulmonary_function_measurement__FEV-FEC_ratio	Small_Intestine_Terminal_Ileum, Artery_Aorta, Artery_Tibial, Esophagus_Muscularis, Nerve_Tibial, Adipose_Subcutaneous, Muscle_Skeletal, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Adipose_Visceral_Omentum, Brain_Putamen_basal_ganglia, Lung, Spleen	cis	True
MMP15	rs12447804	FEV-FEC_ratio, pulmonary_function_measurement__FEV-FEC_ratio	Thyroid	cis	True
MMP16	rs7004633, rs2129782, rs10504861, rs2403083, rs7838490, rs11995572, rs6981717, rs58605417	attention_deficit_hyperactivity_disorder__unipolar_depression__schizophrenia__autism_spectrum_disorder__bipolar_disorder, electrodermal_activity_measurement__skin_conductance_response_amplitude, migraine_disorder, plasma_beta-amyloid_1-40_measurement, response_to_drug__body_mass_index, schizophrenia	Thyroid, Testis, Adipose_Subcutaneous, Spleen, Cells_Transformed_fibroblasts, Esophagus_Mucosa, Lung, Artery_Tibial, Pituitary, Skin_Not_Sun_Exposed_Suprapubic, Muscle_Skeletal, Skin_Sun_Exposed_Lower_leg, Nerve_Tibial	both	True
RP11-467L20.10	rs174547, rs174537, rs102275, rs174577, rs174538, rs174535, rs174556, rs108499, rs174534, rs174536, rs174575, rs174576, rs174528, rs174546, rs174529, rs1692120	body_height, Crohn's_disease, P_wave_duration, blood_metabolite_measurement, cis-trans-18:2_fatty_acid_measurement__trans_fatty_acid_measurement, colorectal_cancer, comprehensive_strength_index__muscle_measurement, coronary_artery_calcification, fatty_acid_measurement__oleic_acid_measurement, glycerophospholipid_measurement__blood_metabolite_measurement, high_density_lipoprotein_cholesterol_measurement, high_density_lipoprotein_cholesterol_measurement__metabolic_syndrome, iron_biomarker_measurement__transferrin_measurement, lipid_measurement, low_density_lipoprotein_cholesterol_measurement, metabolite_measurement, omega-6_polyunsaturated_fatty_acid_measurement, phospholipid_measurement, resting_heart_rate, sphingolipid_measurement__blood_metabolite_measurement, total_cholesterol_measurement, triglyceride_measurement	Liver	cis	False
SEC23IP	rs12571664, rs2456721	age_at_menarche, cerebrospinal_fluid_clusterin_measurement	Thyroid, Brain_Frontal_Cortex_BA9, Artery_Tibial, Muscle_Skeletal	cis	True
RASGRP4	rs892055	Asperger_syndrome	Esophagus_Muscularis	cis	True
DSTYK	rs1668873, rs1172130, rs9660992, rs1668871, rs16937	mean_platelet_volume, platelet_count, schizophrenia	Breast_Mammary_Tissue, Heart_Atrial_Appendage, Brain_Caudate_basal_ganglia, Artery_Tibial, Esophagus_Muscularis, Nerve_Tibial, Adipose_Subcutaneous, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Brain_Putamen_basal_ganglia, Skin_Sun_Exposed_Lower_leg, Brain_Anterior_cingulate_cortex_BA24, Lung	cis	False
